"ID","ID_Wyrobu","ID_Stanowiska","Czas_Cyklu_ms","Czas_Zadany_ms","Czas_Zakonczenia","ID_Zlecenia"
"4","3","1","13472","26000","29.08.2026 18:32:30",""
"20","1","1","187000","54000","29.08.2026 19:01:17",""
"21","1","2","60000","60000","29.08.2026 19:02:36",""
"22","1","3","34000","52000","29.08.2026 19:03:34",""
"23","1","4","34858","15000","29.08.2026 19:04:15",""
"24","1","1","52000","54000","30.08.2026 00:22:12",""
"25","1","2","15119","60000","30.08.2026 00:27:17",""
"26","1","1","60000","54000","30.08.2026 13:31:44",""
"27","1","1","47427","54000","30.08.2026 13:39:26",""
"28","2","2","108796","42000","30.08.2026 13:46:29",""
"29","2","1","60000","39000","30.08.2026 13:47:52",""
"30","1","1","43000","54000","30.08.2026 13:56:36",""
"31","1","1","64000","54000","30.08.2026 14:13:03",""
"32","1","2","64000","60000","30.08.2026 14:14:38",""
"33","1","3","78000","52000","30.08.2026 14:18:06",""
"34","1","4","23000","15000","30.08.2026 14:19:20",""
"38","1","3","3445","52000","30.08.2026 14:55:09","1"
"43","1","1","112000","54000","30.08.2026 18:13:07","1"
"44","1","1","31030","54000","30.08.2026 19:05:47",""
"45","1","2","23919","60000","30.08.2026 19:06:14",""
"46","1","1","29190","54000","30.08.2026 19:06:19",""
"47","1","3","26590","52000","30.08.2026 19:06:42",""
"48","1","2","32310","60000","30.08.2026 19:06:53",""
"49","1","1","30034","54000","30.08.2026 19:06:56",""
"50","1","4","32104","15000","30.08.2026 19:07:16",""
"51","1","1","24548","54000","30.08.2026 19:07:20",""
"52","1","3","27125","52000","30.08.2026 19:07:21",""
"53","1","2","31892","60000","30.08.2026 19:07:30",""
"54","1","1","44000","54000","30.08.2026 20:27:32","1"
"55","1","1","34000","54000","30.08.2026 22:02:43","1"
"56","1","2","49000","60000","30.08.2026 22:04:01","1"
"57","1","4","37000","15000","30.08.2026 22:06:17","1"
"58","1","1","24000","54000","30.08.2026 22:15:08","1"
"59","1","1","27000","54000","30.08.2026 22:16:50","1"
"60","4","1","32000","27000","31.08.2026 10:02:14","3"
"61","4","1","13000","27000","31.08.2026 10:04:01","3"
"62","4","3","51000","53000","31.08.2026 10:04:19","3"
"63","4","2","66000","29000","31.08.2026 10:05:13","3"
"64","4","1","64000","27000","31.08.2026 10:05:25","3"
"65","4","3","79000","53000","31.08.2026 10:06:49","3"
"66","4","2","87000","29000","31.08.2026 10:07:01","3"
"67","4","3","1788","53000","31.08.2026 10:18:13","3"
"68","4","3","1314","53000","31.08.2026 10:19:51","3"
"69","5","1","41000","30000","31.08.2026 10:29:55","1"
"70","5","2","46000","33000","31.08.2026 10:30:57","1"
"71","5","3","64000","55000","31.08.2026 10:32:11","1"
"72","5","1","32000","30000","31.08.2026 10:37:06","1"
"73","5","2","32000","33000","31.08.2026 10:37:46","1"
"74","5","3","28000","55000","31.08.2026 10:38:20","1"
"75","5","4","15000","15000","31.08.2026 10:38:46","1"
"76","5","1","14000","30000","31.08.2026 10:40:59","1"
"77","5","3","5000","55000","31.08.2026 10:41:21","1"
"78","5","4","1190","15000","31.08.2026 10:41:35","1"
"79","6","1","55000","20000","31.08.2026 11:11:32","1"
"80","6","2","49000","33000","31.08.2026 11:12:27","1"
"81","6","1","38000","20000","31.08.2026 11:12:41","1"
"82","6","3","192000","43000","31.08.2026 11:15:49","1"
"83","6","4","79000","15000","31.08.2026 11:17:22","1"
"84","6","2","342000","33000","31.08.2026 11:18:18","1"
"85","6","3","144000","43000","31.08.2026 11:18:32","1"
"86","6","4","20000","15000","31.08.2026 11:18:59","1"
"87","4","1","112000","27000","31.08.2026 11:22:02","2"
"88","2","1","50000","39000","31.08.2026 12:03:55","1"
"89","2","2","60515","42000","31.08.2026 12:05:11","1"
"90","6","1","42000","20000","31.08.2026 12:09:52","3"
"91","6","2","33000","33000","31.08.2026 12:10:31","3"
"92","1","3","333510","52000","31.08.2026 12:11:29","1"
"93","6","4","15000","15000","31.08.2026 12:11:51","3"
"94","1","1","62000","54000","31.08.2026 12:13:33","1"
"95","1","2","34000","60000","31.08.2026 12:14:15","1"
"96","1","3","51000","52000","31.08.2026 12:15:22","1"
"97","1","4","22000","15000","31.08.2026 12:15:50","1"
"98","1","4","54855","15000","31.08.2026 12:17:13","1"
