"ID","ID_Materialu","ID_Zlecenia","ID_Operatora","TypTransakcji","Ilosc","Timestamp","Notatka"
"1","1","","","ResetMagazynu","81","19.07.2026 12:11:37","Reset do stanu bazowego 15.07.2025"
"27","27","","","ResetMagazynu","218","19.07.2026 12:11:37","Reset do stanu bazowego 15.07.2025"
"38","38","","","ResetMagazynu","13","19.07.2026 12:11:37","Reset do stanu bazowego 15.07.2025"
"40","1","","","ResetMagazynu","81","19.07.2026 17:58:41","Reset do stanu bazowego 15.07.2025"
"66","27","","","ResetMagazynu","218","19.07.2026 17:58:41","Reset do stanu bazowego 15.07.2025"
"77","38","","","ResetMagazynu","13","19.07.2026 17:58:41","Reset do stanu bazowego 15.07.2025"
"83","48","1005","","Rezerwacja","-18","19.07.2026 18:46:41","Rezerwacja dla zlecenia 1005"
"90","48","1005","","Zuzycie","-6","19.07.2026 18:48:29","Zużycie na stanowisku 3"
"95","48","1005","","Zuzycie","-6","19.07.2026 18:49:16","Zużycie na stanowisku 3"
"100","48","1005","","Zuzycie","-6","19.07.2026 18:49:52","Zużycie na stanowisku 3"
"105","48","1005","","Zuzycie","-6","19.07.2026 18:50:27","Zużycie na stanowisku 3"
"107","1","","","ResetMagazynu","81","20.07.2026 16:44:39","Reset do stanu bazowego 15.07.2025"
"133","27","","","ResetMagazynu","218","20.07.2026 16:44:39","Reset do stanu bazowego 15.07.2025"
"144","38","","","ResetMagazynu","13","20.07.2026 16:44:39","Reset do stanu bazowego 15.07.2025"
"150","48","1005","","ZwrotRezerwy","18","20.08.2026 17:38:41","Zwolnienie rezerwy po usunięciu zlecenia 1005"
"155","48","2022","","Rezerwacja","-18","25.08.2026 15:00:41","Rezerwacja dla zlecenia 2022"
"170","48","2022","","Zuzycie","-6","25.08.2026 15:04:25","Zużycie na stanowisku 3"
"172","48","2022","","Zuzycie","-6","25.08.2026 15:04:37","Zużycie na stanowisku 3"
"177","48","2022","","Zuzycie","-6","25.08.2026 15:04:40","Zużycie na stanowisku 3"
"183","48","2022","","Zuzycie","-6","25.08.2026 15:05:08","Zużycie na stanowisku 3"
"188","48","2022","","Zuzycie","-6","25.08.2026 15:05:19","Zużycie na stanowisku 3"
"192","48","2022","","Zuzycie","-6","25.08.2026 15:05:34","Zużycie na stanowisku 3"
"197","48","2022","","ZwrotPoNOK","6","25.08.2026 15:05:36","Zwrot po NOK dla zlecenia 2022"
"202","48","2022","","ZwrotRezerwy","18","25.08.2026 15:11:34","Zwolnienie rezerwy po usunięciu zlecenia 2022"
"1146","1","1031","","Rezerwacja","-1","27.08.2026 22:04:26","Uzupelnienie rezerwacji po migracji BOM 003"
"1147","49","1031","","Rezerwacja","-19","27.08.2026 22:04:26","Uzupelnienie rezerwacji po migracji BOM 003"
"1148","27","1031","","Rezerwacja","-6","27.08.2026 22:04:26","Uzupelnienie rezerwacji po migracji BOM 003"
"1149","50","1031","","Rezerwacja","-6","27.08.2026 22:04:26","Uzupelnienie rezerwacji po migracji BOM 003"
"1150","51","1031","","Rezerwacja","-6","27.08.2026 22:04:26","Uzupelnienie rezerwacji po migracji BOM 003"
"1151","52","1031","","Rezerwacja","-9","27.08.2026 22:04:26","Uzupelnienie rezerwacji po migracji BOM 003"
"1152","48","1031","","Rezerwacja","-4","27.08.2026 22:04:26","Uzupelnienie rezerwacji po migracji BOM 003"
"1153","53","1031","","Rezerwacja","-3","27.08.2026 22:04:26","Uzupelnienie rezerwacji po migracji BOM 003"
"1154","1","1031","","ZwrotRezerwy","1","27.08.2026 22:06:08","Zwolnienie rezerwy po usunięciu zlecenia 1031"
"1155","38","1031","","ZwrotRezerwy","0","27.08.2026 22:06:08","Zwolnienie rezerwy po usunięciu zlecenia 1031"
"1156","49","1031","","ZwrotRezerwy","19","27.08.2026 22:06:08","Zwolnienie rezerwy po usunięciu zlecenia 1031"
"1157","27","1031","","ZwrotRezerwy","6","27.08.2026 22:06:08","Zwolnienie rezerwy po usunięciu zlecenia 1031"
"1158","50","1031","","ZwrotRezerwy","6","27.08.2026 22:06:08","Zwolnienie rezerwy po usunięciu zlecenia 1031"
"1159","51","1031","","ZwrotRezerwy","6","27.08.2026 22:06:08","Zwolnienie rezerwy po usunięciu zlecenia 1031"
"1160","52","1031","","ZwrotRezerwy","9","27.08.2026 22:06:08","Zwolnienie rezerwy po usunięciu zlecenia 1031"
"1161","48","1031","","ZwrotRezerwy","4","27.08.2026 22:06:08","Zwolnienie rezerwy po usunięciu zlecenia 1031"
"1162","53","1031","","ZwrotRezerwy","3","27.08.2026 22:06:08","Zwolnienie rezerwy po usunięciu zlecenia 1031"
"1163","1","1032","","Rezerwacja","-1","28.08.2026 14:21:45","Rezerwacja dla zlecenia 1032"
"1164","38","1032","","Rezerwacja","0","28.08.2026 14:21:45","Rezerwacja dla zlecenia 1032"
"1165","49","1032","","Rezerwacja","-19","28.08.2026 14:21:45","Rezerwacja dla zlecenia 1032"
"1166","27","1032","","Rezerwacja","-6","28.08.2026 14:21:45","Rezerwacja dla zlecenia 1032"
"1167","50","1032","","Rezerwacja","-6","28.08.2026 14:21:45","Rezerwacja dla zlecenia 1032"
"1168","51","1032","","Rezerwacja","-6","28.08.2026 14:21:45","Rezerwacja dla zlecenia 1032"
"1169","52","1032","","Rezerwacja","-9","28.08.2026 14:21:45","Rezerwacja dla zlecenia 1032"
"1170","48","1032","","Rezerwacja","-4","28.08.2026 14:21:45","Rezerwacja dla zlecenia 1032"
"1171","53","1032","","Rezerwacja","-3","28.08.2026 14:21:45","Rezerwacja dla zlecenia 1032"
"1172","1","1032","","ZwrotRezerwy","1","28.08.2026 14:43:31","Zwolnienie rezerwy po usunięciu zlecenia 1032"
"1173","38","1032","","ZwrotRezerwy","0","28.08.2026 14:43:31","Zwolnienie rezerwy po usunięciu zlecenia 1032"
"1174","49","1032","","ZwrotRezerwy","19","28.08.2026 14:43:31","Zwolnienie rezerwy po usunięciu zlecenia 1032"
"1175","27","1032","","ZwrotRezerwy","6","28.08.2026 14:43:31","Zwolnienie rezerwy po usunięciu zlecenia 1032"
"1176","50","1032","","ZwrotRezerwy","6","28.08.2026 14:43:31","Zwolnienie rezerwy po usunięciu zlecenia 1032"
"1177","51","1032","","ZwrotRezerwy","6","28.08.2026 14:43:31","Zwolnienie rezerwy po usunięciu zlecenia 1032"
"1178","52","1032","","ZwrotRezerwy","9","28.08.2026 14:43:31","Zwolnienie rezerwy po usunięciu zlecenia 1032"
"1179","48","1032","","ZwrotRezerwy","4","28.08.2026 14:43:31","Zwolnienie rezerwy po usunięciu zlecenia 1032"
"1180","53","1032","","ZwrotRezerwy","3","28.08.2026 14:43:31","Zwolnienie rezerwy po usunięciu zlecenia 1032"
"1181","1","1033","","Rezerwacja","-3","28.08.2026 14:43:41","Rezerwacja dla zlecenia 1033"
"1182","38","1033","","Rezerwacja","0","28.08.2026 14:43:41","Rezerwacja dla zlecenia 1033"
"1183","49","1033","","Rezerwacja","-57","28.08.2026 14:43:41","Rezerwacja dla zlecenia 1033"
"1184","27","1033","","Rezerwacja","-18","28.08.2026 14:43:41","Rezerwacja dla zlecenia 1033"
"1185","50","1033","","Rezerwacja","-18","28.08.2026 14:43:41","Rezerwacja dla zlecenia 1033"
