"ID","Typ","Tresc","ID_Zlecenia","ID_Stanowiska","Utworzono","Przeczytane"
"1","AbortStanowiska","Porzucono sztukę na Stanowisko Montaz 1 (zlecenie ZL001).","1","1","28.08.2026 17:02:12","True"
"2","AbortStanowiska","TEST: Porzucono sztuke na Stanowisko 1 (zlecenie ZL001).","1","1","28.08.2026 17:02:21","True"
"5","AbortStanowiska","Porzucono sztukę na Stanowisko Montaz 1 (zlecenie ZL001).","1","1","28.08.2026 17:39:56","True"
"1098","BrakKlockow","Kończą się klocki: 2x2 żółty wysoki — tor 1, Stanowisko Montaż 2 (został 1 pojemnik).","","2","29.08.2026 15:56:45","True"
"1099","BrakKlockow","Kończą się klocki: 3x1 pomarańczowy wysoki — tor 2, Stanowisko Montaż 2 (został 1 pojemnik).","","2","29.08.2026 15:57:01","True"
"1100","BrakKlockow","Kończą się klocki: 2x1 jasny zielony wysoki — tor 3, Stanowisko Montaż 2 (został 1 pojemnik).","","2","29.08.2026 15:57:01","True"
"1101","BrakKlockow","Kończą się klocki: 1x1 niebieski wysoki — tor 1, Stanowisko Montaż 3 (został 1 pojemnik).","","3","29.08.2026 15:58:52","True"
"1102","BrakKlockow","Kończą się klocki: 2x1 żółty wysoki — tor 2, Stanowisko Montaż 3 (został 1 pojemnik).","","3","29.08.2026 15:58:52","True"
"1103","BrakKlockow","BRAK klocków: 1x1 niebieski wysoki — tor 1, Stanowisko Montaż 3. Dołóż pojemnik!","","3","29.08.2026 15:59:23","True"
"1104","BrakKlockow","BRAK klocków: 2x1 żółty wysoki — tor 2, Stanowisko Montaż 3. Dołóż pojemnik!","","3","29.08.2026 15:59:23","True"
"1105","BrakKlockow","BRAK klocków: 4x1 zielony wysoki — tor 3, Stanowisko Montaż 3. Dołóż pojemnik!","","3","29.08.2026 15:59:23","True"
"1106","BrakKlockow","BRAK klocków: 2x2 żółty wysoki — tor 1, Stanowisko Montaż 2. Dołóż pojemnik!","","2","29.08.2026 16:03:26","True"
"1107","BrakKlockow","BRAK klocków: 3x1 pomarańczowy wysoki — tor 2, Stanowisko Montaż 2. Dołóż pojemnik!","","2","29.08.2026 16:03:26","True"
