"ID","ID_Wyrobu","ID_Stanowiska","Czas_Jednostkowy","Jednostka_Miary","Czas_Przygotowawczy_ms"
"1","1","1","54000,000","ms","0"
"2","1","2","60000,000","ms","0"
"3","1","3","52000,000","ms","0"
"4","1","4","15000,000","ms","0"
"5","2","1","39000,000","ms","0"
"6","2","2","42000,000","ms","0"
"7","2","3","66000,000","ms","0"
"8","2","4","15000,000","ms","0"
"9","3","1","26000,000","ms","0"
"10","3","2","82000,000","ms","0"
"11","3","3","59000,000","ms","0"
"12","3","4","15000,000","ms","0"
"13","4","1","27000,000","ms","0"
"14","4","2","29000,000","ms","0"
"15","4","3","53000,000","ms","0"
"16","4","4","15000,000","ms","0"
"17","5","1","30000,000","ms","0"
"18","5","2","33000,000","ms","0"
"19","5","3","55000,000","ms","0"
"20","5","4","15000,000","ms","0"
"21","6","1","20000,000","ms","0"
"22","6","2","33000,000","ms","0"
"23","6","3","43000,000","ms","0"
"24","6","4","15000,000","ms","0"
