"ID","ID_Raportu","Nazwa","Zuzyto"
"6","18","16x16 szary płaski","1"
"7","18","1x1 niebieski wysoki","9"
"8","18","2x1 czerwony wysoki","19"
"9","18","2x1 jasny zielony wysoki","6"
"10","18","2x1 żółty wysoki","4"
"11","18","2x2 żółty wysoki","6"
"12","18","3x1 pomarańczowy wysoki","6"
"13","18","4x1 zielony wysoki","3"
"14","19","16x16 szary płaski","1"
"15","19","1x1 niebieski wysoki","9"
"16","19","2x1 czerwony wysoki","19"
"17","19","2x1 jasny zielony wysoki","6"
"18","19","2x1 żółty wysoki","4"
"19","19","2x2 żółty wysoki","6"
"20","19","3x1 pomarańczowy wysoki","6"
"21","19","4x1 zielony wysoki","3"
"22","26","16x16 szary płaski","1"
"23","26","1x1 niebieski wysoki","9"
"24","26","2x1 czerwony wysoki","19"
"25","26","2x1 jasny zielony wysoki","6"
"26","26","2x1 żółty wysoki","4"
"27","26","2x2 żółty wysoki","6"
"28","26","3x1 pomarańczowy wysoki","6"
"29","26","4x1 zielony wysoki","3"
"30","1028","16x16 szary płaski","1"
"31","1028","1x1 niebieski wysoki","9"
"32","1028","2x1 czerwony wysoki","19"
"33","1028","2x1 jasny zielony wysoki","6"
"34","1028","2x1 żółty wysoki","4"
"35","1028","2x2 żółty wysoki","6"
"36","1028","3x1 pomarańczowy wysoki","6"
"37","1028","4x1 zielony wysoki","3"
"38","1032","16x16 szary płaski","1"
"39","1032","1x1 niebieski wysoki","9"
"40","1032","2x1 czerwony wysoki","19"
"41","1032","2x1 jasny zielony wysoki","6"
"42","1032","2x1 żółty wysoki","4"
"43","1032","2x2 żółty wysoki","6"
"44","1032","3x1 pomarańczowy wysoki","6"
"45","1032","4x1 zielony wysoki","3"
"46","1035","1x1 niebieski wysoki","30"
"47","1035","2x1 czerwony wysoki","24"
"48","1035","2x1 jasny zielony wysoki","12"
"49","1035","2x1 żółty wysoki","6"
"50","1035","2x2 żółty wysoki","9"
"51","1035","3x1 pomarańczowy wysoki","9"
"52","1035","4x1 zielony wysoki","6"
"53","1035","6x16 czarny płaski","3"
"54","1036","1x1 niebieski wysoki","10"
"55","1036","2x1 czerwony wysoki","10"
"56","1036","2x1 jasny zielony wysoki","4"
"57","1036","2x1 żółty wysoki","8"
"58","1036","2x2 żółty wysoki","4"
"59","1036","3x1 pomarańczowy wysoki","10"
"60","1036","4x1 zielony wysoki","8"
"61","1036","6x16 czarny płaski","2"
"62","1038","16x16 szary płaski","1"
"63","1038","1x1 niebieski wysoki","14"
"64","1038","2x1 czerwony wysoki","24"
"65","1038","2x1 jasny zielony wysoki","8"
"66","1038","2x1 żółty wysoki","8"
"67","1038","2x2 żółty wysoki","8"
"68","1038","3x1 pomarańczowy wysoki","11"
"69","1038","4x1 zielony wysoki","7"
"70","1038","6x16 czarny płaski","1"
