"ID","ID_Raportu","Nazwa","Wyrob","Status","IloscSztuk","SztukOK","SztukNOK","PowodyNOK"
"4","1","ZL001","Wyrob 1","W toku","1","0","0",""
"6","18","ZL001","Wyrob 1","Zakonczone","1","0","1",""
"7","18","ZL002","Wyrob 3","W toku","2","0","0",""
"8","18","ZL003","Wyrob 6","Zakonczone","2","0","0",""
"9","19","ZL001","Wyrob 1","Zakonczone","1","1","0",""
"10","19","ZL003","Wyrob 5","Nowe","4","0","0",""
"11","20","ZL001","Wyrob 1","W toku","3","0","0",""
"12","21","ZL001","Wyrob 1","Nowe","3","0","0",""
"13","21","ZL002","Wyrob 2","Nowe","2","0","0",""
"14","21","ZL003","Wyrob 6","Nowe","3","0","0",""
"15","22","ZL001","Wyrob 1","Anulowane","2","0","0",""
"16","22","ZL002","Wyrob 1","Anulowane","1","0","0",""
"17","22","ZL003","Wyrob 1","Nowe","2","0","0",""
"18","23","ZL001","Wyrob 2","Nowe","2","0","0",""
"19","24","ZL001","Wyrob 1","Anulowane","1","0","0",""
"20","25","ZL001","Wyrob 1","Anulowane","1","0","0",""
"21","25","ZL002","Wyrob 2","Anulowane","1","0","0",""
"22","26","ZL001","Wyrob 1","Zakonczone","1","0","1",""
"23","27","ZL005","Wyrob 1","Nowe","1","0","0",""
"1024","1028","ZL001","Wyrob 1","Zakonczone","1","1","0",""
"1025","1028","ZL1005","Wyrob 3","Nowe","2","0","0",""
"1026","1029","ZL001","Wyrob 1","Anulowane","1","0","0",""
"1027","1029","ZL002","Wyrob 1","Nowe","1","0","0",""
"1028","1030","ZL001","Wyrob 1","Anulowane","1","0","0",""
"1029","1030","ZL002","Wyrob 1","Anulowane","1","0","0",""
"1030","1031","ZL001","Wyrob 1","W toku","1","0","0",""
"1031","1032","ZL001","Wyrob 1","Zakonczone","1","0","1",""
"1032","1033","ZL001","Wyrob 1","Anulowane","1","0","0",""
"1033","1034","ZL001","Wyrob 1","Anulowane","1","0","0",""
"1034","1034","ZL002","Wyrob 3","Anulowane","3","0","0",""
"1035","1035","ZL001","Wyrob 5","Zakonczone","3","2","1","szt. 1 - Brak klocka, Przesuniecie, Inny"
"1036","1035","ZL002","Wyrob 3","Nowe","2","0","0",""
"1037","1035","ZL003","Wyrob 4","W toku","3","0","0",""
"1038","1036","ZL001","Wyrob 6","Zakonczone","2","1","1","szt. 1 - Brak klocka, Inny"
"1039","1036","ZL002","Wyrob 4","W toku","1","0","0",""
"1040","1036","ZL003","Wyrob 5","Nowe","1","0","0",""
"1041","1037","ZL001","Wyrob 2","W toku","1","0","0",""
"1042","1037","ZL002","Wyrob 3","Nowe","1","0","0",""
"1043","1037","ZL003","Wyrob 4","Nowe","1","0","0",""
"1044","1038","ZL001","Wyrob 1","Zakonczone","1","1","0",""
"1045","1038","ZL002","Wyrob 3","Nowe","1","0","0",""
"1046","1038","ZL003","Wyrob 6","Zakonczone","1","1","0",""
