"ID","Nazwa","Utworzono","OEE","Dostepnosc","Wydajnosc","Jakosc","SztukOK","SztukNOK","FPY"
"1","Zajecia 2026-08-29 17:24:03","29.08.2026 17:24:03","0","0","0","0","0","0","0"
"18","Zajecia 2026-08-29 18:34:59","29.08.2026 18:34:59","0","0","0","0","0","1","0"
"19","Zajecia 2026-08-30 00:13:03","30.08.2026 00:13:03","0,679775","1","0,679775","1","1","0","1"
"20","Zajecia 2026-08-30 13:28:24","30.08.2026 13:28:24","1","1","1","1","0","0","0"
"21","Zajecia 2026-08-30 13:34:43","30.08.2026 13:34:43","0,9","1","0,9","1","0","0","0"
"22","Zajecia 2026-08-30 13:40:20","30.08.2026 13:40:20","1","1","1","1","0","0","0"
"23","Zajecia 2026-08-30 13:50:24","30.08.2026 13:50:24","0,518","1","0,518","1","0","0","0"
"24","Zajecia 2026-08-30 13:54:19","30.08.2026 13:54:19","0","0","0","0","0","0","0"
"25","Zajecia 2026-08-30 14:10:50","30.08.2026 14:10:50","1","1","1","1","0","0","0"
"26","Zajecia 2026-08-30 15:51:58","30.08.2026 15:51:58","0","1","0,82004","0","0","1","0"
"27","Zajecia 2026-08-30 16:30:12","30.08.2026 16:30:12","0","0","0","0","0","0","0"
"1028","Zajecia 2026-08-30 20:02:29","30.08.2026 20:02:29","0,903681818181818","0,950763636363636","0,952918181818182","1","1","0","1"
"1029","Zajecia 2026-08-30 20:14:10","30.08.2026 20:14:10","0","0","0","0","0","0","0"
"1030","Zajecia 2026-08-30 20:24:10","30.08.2026 20:24:10","0","0","0","0","0","0","0"
"1031","Zajecia 2026-08-30 22:01:10","30.08.2026 22:01:10","1","1","1","1","0","0","0"
"1032","Zajecia 2026-08-30 22:14:03","30.08.2026 22:14:03","0","0,744733333333333","0,8018","0","0","1","0"
"1033","Zajecia 2026-08-30 22:15:47","30.08.2026 22:15:47","1","1","1","1","0","0","0"
"1034","Zajecia 2026-08-31 09:15:18","31.08.2026 09:15:18","1","1","1","1","0","0","0"
"1035","Zajecia 2026-08-31 11:09:01","31.08.2026 11:09:01","0,60505","0,90755","1","0,6667","2","1","0,666666666666667"
"1036","Zajecia 2026-08-31 12:00:25","31.08.2026 12:00:25","0,2053","1","0,41065","0,5","1","1","0,5"
"1037","Zajecia 2026-08-31 12:07:30","31.08.2026 12:07:30","0","0","0","0","0","0","0"
"1038","Zajecia 2026-08-31 12:18:36","31.08.2026 12:18:36","0,688733333333333","0,8091","0,847766666666667","1","2","0","1"
