"ID","ID_Wyrobu","ID_Materialu","Ilosc_Sztuk","ID_Stanowiska"
"25","1","1","1,000","1"
"26","1","38","0,000","1"
"27","1","49","19,000","1"
"28","2","1","1,000","1"
"29","2","38","0,000","1"
"30","2","49","14,000","1"
"31","3","1","1,000","1"
"32","3","38","0,000","1"
"33","3","49","8,000","1"
"34","4","1","0,000","1"
"35","4","38","1,000","1"
"36","4","49","7,000","1"
"37","5","1","0,000","1"
"38","5","38","1,000","1"
"39","5","49","8,000","1"
"40","6","1","0,000","1"
"41","6","38","1,000","1"
"42","6","49","5,000","1"
"43","1","27","6,000","2"
"44","1","50","6,000","2"
"45","1","51","6,000","2"
"46","2","27","4,000","2"
"47","2","50","6,000","2"
"48","2","51","4,000","2"
"49","3","27","6,000","2"
"50","3","50","8,000","2"
"51","3","51","9,000","2"
"52","4","27","2,000","2"
"53","4","50","2,000","2"
"54","4","51","4,000","2"
"55","5","27","3,000","2"
"56","5","50","3,000","2"
"57","5","51","4,000","2"
"58","6","27","2,000","2"
"59","6","50","5,000","2"
"60","6","51","2,000","2"
"61","1","52","9,000","3"
"62","1","48","4,000","3"
"63","1","53","3,000","3"
"64","2","52","9,000","3"
"65","2","48","6,000","3"
"66","2","53","5,000","3"
"67","3","52","7,000","3"
"68","3","48","7,000","3"
"69","3","53","3,000","3"
"70","4","52","8,000","3"
"71","4","48","3,000","3"
"72","4","53","3,000","3"
"73","5","52","10,000","3"
"74","5","48","2,000","3"
"75","5","53","2,000","3"
"76","6","52","5,000","3"
"77","6","48","4,000","3"
"78","6","53","4,000","3"
